,x,edge_index,edge_attr,y,p,theta,graph_index
0,"[[1, 0, 0], [1, 0, 0], [0, 1, 0], [0, 1, 0], [0, 0, 1], [0, 0, 1]]","[[1, 2, 3, 4, 4], [3, 3, 4, 5, 6]]","[[0.511, 0.5, -0.5, -1, 0, -2], [0.511, 0.5, 0, 2, 0.5, 1], [0, 1, 0, 0, 0, 0], [105.6583755, 0.5, -0.5, -1, 0, -2], [105.6583755, 0.5, 0, 2, 0.5, 1]]",0.01193517976783491,120.0,0.0,e_mu_s
1,"[[1, 0, 0], [1, 0, 0], [0, 1, 0], [0, 1, 0], [0, 0, 1], [0, 0, 1]]","[[1, 2, 3, 4, 4], [3, 3, 4, 5, 6]]","[[0.511, 0.5, -0.5, -1, 0, -2], [0.511, 0.5, 0, 2, 0.5, 1], [0, 1, 0, 0, 0, 0], [105.6583755, 0.5, -0.5, -1, 0, -2], [105.6583755, 0.5, 0, 2, 0.5, 1]]",0.011933276198198622,120.0,0.03173325912716963,e_mu_s
2,"[[1, 0, 0], [1, 0, 0], [0, 1, 0], [0, 1, 0], [0, 0, 1], [0, 0, 1]]","[[1, 2, 3, 4, 4], [3, 3, 4, 5, 6]]","[[0.511, 0.5, -0.5, -1, 0, -2], [0.511, 0.5, 0, 2, 0.5, 1], [0, 1, 0, 0, 0, 0], [105.6583755, 0.5, -0.5, -1, 0, -2], [105.6583755, 0.5, 0, 2, 0.5, 1]]",0.011927573154292827,120.0,0.06346651825433926,e_mu_s
3,"[[1, 0, 0], [1, 0, 0], [0, 1, 0], [0, 1, 0], [0, 0, 1], [0, 0, 1]]","[[1, 2, 3, 4, 4], [3, 3, 4, 5, 6]]","[[0.511, 0.5, -0.5, -1, 0, -2], [0.511, 0.5, 0, 2, 0.5, 1], [0, 1, 0, 0, 0, 0], [105.6583755, 0.5, -0.5, -1, 0, -2], [105.6583755, 0.5, 0, 2, 0.5, 1]]",0.01191809360026248,120.0,0.0951997773815089,e_mu_s
4,"[[1, 0, 0], [1, 0, 0], [0, 1, 0], [0, 1, 0], [0, 0, 1], [0, 0, 1]]","[[1, 2, 3, 4, 4], [3, 3, 4, 5, 6]]","[[0.511, 0.5, -0.5, -1, 0, -2], [0.511, 0.5, 0, 2, 0.5, 1], [0, 1, 0, 0, 0, 0], [105.6583755, 0.5, -0.5, -1, 0, -2], [105.6583755, 0.5, 0, 2, 0.5, 1]]",0.011904875706925914,120.0,0.12693303650867852,e_mu_s
5,"[[1, 0, 0], [1, 0, 0], [0, 1, 0], [0, 1, 0], [0, 0, 1], [0, 0, 1]]","[[1, 2, 3, 4, 4], [3, 3, 4, 5, 6]]","[[0.511, 0.5, -0.5, -1, 0, -2], [0.511, 0.5, 0, 2, 0.5, 1], [0, 1, 0, 0, 0, 0], [105.6583755, 0.5, -0.5, -1, 0, -2], [105.6583755, 0.5, 0, 2, 0.5, 1]]",0.011887972698074421,120.0,0.15866629563584814,e_mu_s
6,"[[1, 0, 0], [1, 0, 0], [0, 1, 0], [0, 1, 0], [0, 0, 1], [0, 0, 1]]","[[1, 2, 3, 4, 4], [3, 3, 4, 5, 6]]","[[0.511, 0.5, -0.5, -1, 0, -2], [0.511, 0.5, 0, 2, 0.5, 1], [0, 1, 0, 0, 0, 0], [105.6583755, 0.5, -0.5, -1, 0, -2], [105.6583755, 0.5, 0, 2, 0.5, 1]]",0.011867452636158833,120.0,0.1903995547630178,e_mu_s
7,"[[1, 0, 0], [1, 0, 0], [0, 1, 0], [0, 1, 0], [0, 0, 1], [0, 0, 1]]","[[1, 2, 3, 4, 4], [3, 3, 4, 5, 6]]","[[0.511, 0.5, -0.5, -1, 0, -2], [0.511, 0.5, 0, 2, 0.5, 1], [0, 1, 0, 0, 0, 0], [105.6583755, 0.5, -0.5, -1, 0, -2], [105.6583755, 0.5, 0, 2, 0.5, 1]]",0.011843398148226056,120.0,0.2221328138901874,e_mu_s
8,"[[1, 0, 0], [1, 0, 0], [0, 1, 0], [0, 1, 0], [0, 0, 1], [0, 0, 1]]","[[1, 2, 3, 4, 4], [3, 3, 4, 5, 6]]","[[0.511, 0.5, -0.5, -1, 0, -2], [0.511, 0.5, 0, 2, 0.5, 1], [0, 1, 0, 0, 0, 0], [105.6583755, 0.5, -0.5, -1, 0, -2], [105.6583755, 0.5, 0, 2, 0.5, 1]]",0.011815906093209119,120.0,0.25386607301735703,e_mu_s
9,"[[1, 0, 0], [1, 0, 0], [0, 1, 0], [0, 1, 0], [0, 0, 1], [0, 0, 1]]","[[1, 2, 3, 4, 4], [3, 3, 4, 5, 6]]","[[0.511, 0.5, -0.5, -1, 0, -2], [0.511, 0.5, 0, 2, 0.5, 1], [0, 1, 0, 0, 0, 0], [105.6583755, 0.5, -0.5, -1, 0, -2], [105.6583755, 0.5, 0, 2, 0.5, 1]]",0.01178508717191042,120.0,0.28559933214452665,e_mu_s
